| #  | Question                                                | Used as                 |
| -- | ------------------------------------------------------- | ----------------------- |
| 1  | What is the total number of bookings?                   | **KPI / Answer**        |
| 2  | What is the total revenue generated?                    | **KPI / Answer**        |
| 3  | What is the average ticket price?                       | **KPI / Answer**        |
| 4  | What is the total number of flights?                    | **KPI / Answer**        |
| 5  | What is the total number of customers?                  | **KPI / Answer**        |
| 6  | What is the booking cancellation rate?                  | **KPI / Answer**        |
| 7  | Which airline operates the highest number of flights?   | **Chart – Bar Chart**   |
| 8  | Which airline receives the highest number of bookings?  | **Chart – Bar Chart**   |
| 9  | Which airline generates the highest revenue?            | **Chart – Bar Chart**   |
| 10 | Which airline has the highest average ticket price?     | **Chart – Bar Chart**   
| 11 | Which airline has the longest average flight duration?  | **Chart – Bar Chart**   |
| 12 | Which airport has the highest overall flight traffic?   | **Chart – Bar Chart**   |
| 13 | Which countries have the highest number of airports?    | **Chart – Bar Chart**   |
| 14 | Which cities have the highest flight activity?          | **Chart – Bar Chart**   |
| 15 | What are the Top 10 busiest routes?                     | **Chart – Bar Chart**   |
| 16 | Which route has the highest number of bookings?         | **Answer / Table**      |
| 17 | Which route generates the highest revenue?              | **Chart – Bar Chart**   |
| 18 | Which route has the longest average flight duration?    | **Answer / Table**      |
| 19 | Who are the Top 10 customers by total spending?         | **Chart – Bar Chart**   |
| 20 | What is the average spending per customer?              | **Answer / KPI**        |
| 21 | Which customers have never made a booking?              | **Answer / Table**      |
| 22 | How many customers have made more than one booking?     | **Answer / KPI**        |
| 23 | Which travel class generates the highest revenue?       | **Chart – Donut Chart** |
| 24 | What is the average ticket price for each travel class? | **Chart – Bar Chart**   |
| 25 | How does revenue change month by month?                 | **Chart – Line Chart**  |

